Name;X;Y;Lat;Long
HOLLAND PARK STATION <>;524595;180195;51.50696;-0.20611839
EDITH GROVE;526132;177655;51.483792;-0.18489082
FULHAM ROAD / CHELSEA & WESTMINSTER HOSP;526146;177729;51.484454;-0.1846629
EDITH GROVE;526212;177722;51.484376;-0.18371539
FULHAM ROAD / BEAUFORT STREET;526562;178085;51.487561;-0.17854752
OLD CHURCH STREET;526724;178261;51.489106;-0.17615242
SPUR ROAD / ORPINGTON WAR MEMORIAL;546166;165873;51.373107;0.098579437
PRATTS BOTTOM / SEVENOAKS ROAD;547131;162667;51.34405;0.11110847
HYDE PARK CORNER STATION <>;528274;179818;51.502749;-0.1532743
OLD CHURCH STREET;526702;178215;51.488697;-0.17648561
SEVENOAKS ROAD / ORPINGTON WAR MEMORIAL;546076;165793;51.372411;0.097254484
ONSLOW SQUARE;526985;178620;51.492274;-0.1722662
VILLAGE GREEN ROAD;552042;175069;51.454192;0.18687533
THE RISE;551968;175037;51.453924;0.18579738
STANHAM PLACE;552394;175129;51.454636;0.19196334
THE JOLLY FARMERS OPEN SPACE;552522;175146;51.454754;0.19381147
ONSLOW SQUARE;526989;178635;51.492408;-0.17220322
MILL PLACE;552615;175256;51.455718;0.19519636
PERRY STREET;551584;176098;51.46356;0.1807294
PERRY STREET;551617;176107;51.463632;0.18120793
EVERSLEY CROSS;551316;176093;51.463587;0.17687227
EVERSLEY CROSS;551278;176101;51.463669;0.17632909
NORTHALL ROAD / MANOR WAY;550463;176129;51.464137;0.1646177
PARKSIDE AVENUE / MANOR WAY;550723;176098;51.46379;0.16834448
BRIDGE ROAD / NORTHEND ROAD;551712;176489;51.467039;0.18273824
PENTON STREET;531073;183104;51.531638;-0.11174987
PENTON STREET / CHAPEL MARKET;531164;183107;51.531643;-0.1104376
GUILFORD STREET;530828;182245;51.523975;-0.11559867
GUILFORD STREET;530787;182322;51.524676;-0.11616075
KENTISH TOWN STATION <> #;528990;185246;51.551366;-0.14097847
KENTISH TOWN STATION <> #;529012;185118;51.550211;-0.14070824
COOMBE ROAD;532621;164939;51.368036;-0.096248496
COOMBE ROAD;532608;164915;51.367823;-0.096444079
BIRDHURST GARDENS;533054;164687;51.36567;-0.090126258
BIRDHURST ROAD / SOUTH CROYDON STATION #;533039;164261;51.361845;-0.09050084
BIRDHURST ROAD / SOUTH CROYDON STATION #;532948;164290;51.362127;-0.091796295
NEWINGTON GREEN;532820;185381;51.551692;-0.085720355
CARLTON ROAD;532947;163532;51.355315;-0.092093718
TWIN BRIDGES BUSINESS PARK;532935;163608;51.356001;-0.092237577
CARLTON ROAD;533012;163573;51.355668;-0.091145473
CROHAM ROAD;532663;164229;51.361645;-0.095910181
ALBION ROAD;532793;185469;51.552489;-0.086076352
ELECTRIC HOUSE;532519;165679;51.37471;-0.097437231
WHITGIFT CENTRE;532444;165831;51.376093;-0.098457544
WHITGIFT CENTRE;532432;165928;51.376967;-0.098593736
PURLEY WAY / WADDON STATION #;530973;164850;51.367618;-0.11994148
PURLEY WAY / WADDON STATION #;530956;164861;51.367721;-0.1201815
GREEN LANES;532855;185470;51.552483;-0.085182265
PURLEY OAKS STATION #;532396;162905;51.349809;-0.10023521
PURLEY OAKS STATION #;532321;162781;51.348712;-0.10135761
PURLEY / DOWNLANDS PRECINCT;531352;161707;51.339285;-0.11565953
CHRISTCHURCH ROAD / PURLEY HOSPITAL;531508;161865;51.340669;-0.11336295
COOMBE ROAD;532424;164816;51.366976;-0.09912256
COOMBE ROAD;532415;164953;51.368209;-0.099200785
LIVERPOOL ROAD;531119;185283;51.551208;-0.11027606
PASTEUR GARDENS;532570;192128;51.612381;-0.086778964
PASTEUR GARDENS;532599;192130;51.612392;-0.086359633
EMPIRE PARADE;532644;191812;51.609524;-0.085830338
EMPIRE PARADE;532674;191766;51.609104;-0.085414748
CHURCH HILL ROAD;523483;164970;51.370373;-0.22743779
LIVERPOOL ROAD;531145;185230;51.550726;-0.10992103
CHURCH HILL ROAD;523534;164918;51.369894;-0.22672355
PARK AVENUE;530550;190781;51.600748;-0.11643639
ALLIANCE ROAD;519612;182238;51.526396;-0.27718956
SOUTHWOOD AVENUE;528783;187935;51.575579;-0.14297807
HARINGEY CIVIC CENTRE;530894;190703;51.599967;-0.11150149
HARINGEY CIVIC CENTRE;530910;190702;51.599955;-0.11127098
CANNING CRESCENT;530852;190905;51.601792;-0.11203226
CLAPHAM SOUTH STATION <>;528750;174295;51.453007;-0.14843125
BERKSHIRE GARDENS;530955;191645;51.608418;-0.11026982
BERKSHIRE GARDENS;530958;191728;51.609163;-0.11019555
TOTTENHALL ROAD;531004;191963;51.611265;-0.1094439
BROOMFIELD LANE;530970;192377;51.614993;-0.10978008
BROOMFIELD LANE;530985;192396;51.61516;-0.10955647
CLAPHAM SOUTH STATION <>;528741;174281;51.452883;-0.1485658
PALMERS GREEN / THE TRIANGLE;530996;192606;51.617045;-0.10931926
LODGE DRIVE;531110;192821;51.61895;-0.10759326
FOX LANE;531172;192966;51.620239;-0.106644
FOX LANE;531220;193067;51.621135;-0.10591327
ST MONICA'S CHURCH;531418;193381;51.623911;-0.10293714
BOURNE HILL;531317;193285;51.623072;-0.10443128
PARK HILL;529734;175050;51.459568;-0.13400097
MEADOWCROFT ROAD;531553;193486;51.624823;-0.10094869
MEADOWCROFT ROAD;531591;193506;51.624994;-0.10039255
HYDE PARK CORNER STATION <>;528237;179804;51.502632;-0.15381217
STATION ROAD;531839;194173;51.63093;-0.096561122
BOSTON MANOR STATION <>;516433;178756;51.495765;-0.32414211
GREEN DRAGON LANE;532191;194766;51.636176;-0.091254685
GREEN DRAGON LANE;532153;194688;51.635484;-0.091832872
SOLNA ROAD;532507;194733;51.635805;-0.086703745
SOLNA ROAD;532550;194744;51.635894;-0.086078618
CONIFER GARDENS;532964;195151;51.639454;-0.079945546
CONIFER GARDENS;532967;195058;51.638617;-0.07993752
BUSH HILL;532867;195683;51.644257;-0.081144619
BUSH HILL;532894;195664;51.64408;-0.080761849
PARK CRESCENT;532929;195952;51.64666;-0.080146993
PARK CRESCENT;532914;195903;51.646223;-0.08038226
CECIL ROAD / ST ANNES SCHOOL;532919;196301;51.649798;-0.080158941
CECIL ROAD / ST ANNES SCHOOL;532940;196217;51.649039;-0.079887484
ENFIELD TOWN / GENOTIN ROAD;532962;196510;51.651666;-0.079458402
ENFIELD TOWN / CHURCH STREET;532680;196565;51.652227;-0.08351135
TOTTENHAM POLICE STATION;533778;189713;51.590394;-0.070263541
PHILIP LANE;533758;189438;51.587927;-0.070656776
TOTTENHAM TOWN HALL;533726;189315;51.58683;-0.071165216
WOOD GREEN CROWN COURT;531425;190570;51.598649;-0.10388901
CIRENCESTER STREET;525527;181772;51.520926;-0.19213546
WOOD GREEN CROWN COURT;531379;190534;51.598336;-0.10456624
PERTH ROAD;531675;190686;51.599633;-0.10023816
PERTH ROAD;531570;190636;51.599208;-0.10177202
GLADSTONE AVENUE;531934;190573;51.598557;-0.096543331
MORLEY AVENUE;531811;190625;51.599053;-0.09829862
GLADSTONE AVENUE;532006;190523;51.59809;-0.095523216
WESTBURY AVENUE / LORDSHIP LANE;532130;190543;51.598241;-0.093726473
CIRENCESTER STREET;525538;181783;51.521022;-0.19197308
THE ROUNDWAY / WEST ARM;532303;190512;51.597922;-0.091241901
THE ROUNDWAY / WEST ARM;532280;190532;51.598107;-0.091566236
WALTHEOF AVENUE;532613;190519;51.597912;-0.086766247
WALTHEOF AVENUE;532521;190507;51.597826;-0.08809825
AWLFIELD AVENUE;532949;190539;51.598013;-0.081910523
AWLFIELD AVENUE;532866;190518;51.597844;-0.083116081
MOUNT PLEASANT ROAD;533207;190579;51.598311;-0.07817266
MOUNT PLEASANT ROAD;533064;190545;51.598039;-0.08024891
THE ROUNDWAY / EAST ARM;533370;190596;51.598425;-0.075814261
BRUCE CASTLE PARK;533460;190563;51.598108;-0.074528183
ELMHURST ROAD;533634;190345;51.596107;-0.072100501
ELMHURST ROAD;533568;190408;51.596689;-0.07302881
BRUCE GROVE STATION #;533768;190175;51.594548;-0.070231856
BRUCE GROVE STATION #;533730;190204;51.594818;-0.070769072
PARNELL ROAD;536803;183711;51.535734;-0.028957889
PARNELL ROAD;536776;183718;51.535804;-0.029344212
CATFORD ROAD / LEWISHAM TOWN HALL;537627;173609;51.444756;-0.02102007
BOUNDS GREEN STATION <>;530034;191581;51.608056;-0.12358602
BOUNDS GREEN STATION <>;530032;191524;51.607545;-0.12363601
TAVISTOCK SQUARE;529962;182326;51.524903;-0.12804441
PARSONS GREEN LANE / FULHAM LIBRARY;524988;176951;51.477719;-0.20160637
PARSONS GREEN LANE / FULHAM LIBRARY;524944;176870;51.477001;-0.20226824
MUNSTER ROAD;524590;176518;51.473915;-0.20748697
MUNSTER ROAD;524585;176491;51.473674;-0.20756843
HERNE HILL ROAD;532535;175181;51.460097;-0.093658089
HERNE HILL ROAD;532481;175073;51.459139;-0.094475337
THE GREEN;505301;190561;51.604052;-0.48090814
MERLE AVENUE;505161;190399;51.602622;-0.48297742
SHRUBS ROAD;506702;191541;51.612597;-0.46038835
SHRUBS ROAD;506674;191513;51.612351;-0.46080109
MIDDLETON ROAD;533501;184236;51.541242;-0.07633822
MYDDELTON ROAD;530424;189323;51.587675;-0.11879603
ARDLEIGH GREEN SCHOOL;553943;189692;51.585062;0.22059614
ARDLEIGH GREEN SCHOOL;553945;189641;51.584603;0.22060264
MARKET PLACE / BEXLEYHEATH CLOCK TOWER;549273;175249;51.456545;0.14712872
SHREWSBURY ROAD;541897;184210;51.538962;0.044639326
THORNHILL ROAD;518257;165793;51.378881;-0.30220441
THORNHILL ROAD;518253;165838;51.379286;-0.3022469
SHACKLEWELL LANE;533565;185368;51.551399;-0.074986598
LAKESIDE WAY;518957;185728;51.557901;-0.28544834
WEMBLEY ARENA;519012;185896;51.559399;-0.28459855
EDGWARE ROAD / THE HYDE;521382;188696;51.584058;-0.24946094
EDGWARE ROAD / THE HYDE;521433;188702;51.584101;-0.24872314
RUVIGNY GARDENS;523794;175765;51.467322;-0.21920569
RUVIGNY GARDENS;523839;175748;51.46716;-0.21856414
FESTING ROAD;523499;175863;51.468268;-0.22341622
GREENWOOD ROAD;534346;184772;51.545858;-0.063956526
FESTING ROAD;523557;175832;51.467976;-0.22259247
COMMONDALE;523194;175874;51.468433;-0.22780111
COMMONDALE;523246;175867;51.468359;-0.22705531
PUTNEY BRIDGE ROAD;524078;175451;51.464438;-0.21522936
PUTNEY EXCHANGE;524026;175274;51.462859;-0.21603957
SHEFFIELD TERRACE;525404;180122;51.506125;-0.19449375
SHEFFIELD TERRACE;525400;180205;51.506872;-0.19452186
GLOUCESTER ROAD STATION <>;526286;178805;51.494093;-0.18226318
PALACE GATE;526133;179622;51.501469;-0.18417415
GREENWOOD ROAD;534305;184764;51.545796;-0.064550485
PALACE GATE;526146;179612;51.501376;-0.18399053
STANHOPE GARDENS;526465;178774;51.493774;-0.17969721
STANHOPE GARDENS;526501;178769;51.493721;-0.17918071
ROYAL BROMPTON HOSP / ROYAL MARSDEN HOSP;526888;178445;51.490723;-0.1737255
CHELSEA AND WESTMINSTER HOSPITAL;526294;177810;51.485149;-0.18250364
HORTENSIA ROAD;525994;177482;51.482268;-0.18693884
STOKE NEWINGTON STATION #;533660;186860;51.564784;-0.073050612
REDCLIFFE SQUARE;525899;178043;51.487331;-0.18810637
EARLS COURT ROAD / OLD BROMPTON ROAD;525708;178358;51.490204;-0.19074375
EARLS COURT STATION <>;525575;178555;51.492004;-0.19258839
SCARSDALE VILLAS;525261;179007;51.496136;-0.19694861
PEMBROKE ROAD;525260;179045;51.496478;-0.19694953
GLOUCESTER ROAD;526381;178473;51.491088;-0.18101423
MYDDELTON ROAD;530473;189320;51.587637;-0.11809027
GLOUCESTER ROAD;526425;178478;51.491123;-0.18037901
BOLTON GARDENS / BROMPTON LIBRARY;525972;178386;51.490397;-0.18693326
BROMPTON SQUARE;527301;179202;51.497433;-0.1675072
VICTORIA AND ALBERT MUSEUM;527069;179063;51.496236;-0.17089755
VICTORIA AND ALBERT MUSEUM;527143;179077;51.496345;-0.16982708
COLLINGHAM ROAD / SAINSBURY'S;525930;178872;51.494774;-0.18736465
CROMWELL HOSPITAL;525737;178850;51.494619;-0.19015117
WARWICK GARDENS;524825;179152;51.497535;-0.20317482
HOLLAND GARDENS;524416;179285;51.498821;-0.20901689
LOWER ADDISON GARDENS;524100;179643;51.502108;-0.21344108
PARK GROVE;518731;192232;51.616402;-0.28650909
ALEXANDRA PALACE GARDEN CENTRE;529364;189816;51.592349;-0.13390624
ALEXANDRA PALACE ICE RINK;529632;189966;51.593636;-0.12998426
ALEXANDRA PALACE PALM COURT;529422;189902;51.593109;-0.13303774
ALEXANDRA PALACE GARDEN CENTRE;529343;189819;51.592381;-0.13420811
ALEXANDRA PALACE PARK;529981;190242;51.596036;-0.12484673
ALEXANDRA PALACE ICE RINK;529774;190157;51.59532;-0.1278649
ALEXANDRA PALACE PALM COURT;529426;189931;51.593369;-0.13296934
ALEXANDRA PALACE PARK;530022;190239;51.595999;-0.12425626
RUTLAND GARDENS;527314;179697;51.501879;-0.16714157
KNIGHTSBRIDGE BARRACKS;527391;179679;51.5017;-0.16603931
PRINCE OF WALES GATE;527043;179702;51.501985;-0.17104201
PRINCE OF WALES GATE;527155;179684;51.501798;-0.16943576
QUEENS GATE;526332;179632;51.501515;-0.1813051
CHELSEA FOOTBALL CLUB;525786;177247;51.480202;-0.19001627
CHELSEA FOOTBALL CLUB;525791;177232;51.480066;-0.18994965
RADIPOLE ROAD;524787;176796;51.47637;-0.20455387
RADIPOLE ROAD;524733;176738;51.475861;-0.20535148
FULHAM PALACE ROAD;524377;176296;51.471967;-0.2106303
FULHAM PALACE ROAD;524411;176313;51.472112;-0.21013505
MULGRAVE ROAD;524790;177728;51.484746;-0.20418172
NORTH END ROAD;524960;177832;51.485643;-0.20169792
FULHAM POOLS;524464;177578;51.483469;-0.20892708
FULHAM CROSS;524166;177488;51.482726;-0.21324808
FULHAM CROSS;524025;177505;51.48291;-0.21527163
SHORROLDS ROAD;524870;177233;51.480279;-0.20320503
SHORROLDS ROAD;524808;177244;51.480392;-0.20409351
SHERBROOKE ROAD;524647;177284;51.480787;-0.20639666
SHERBROOKE ROAD;524527;177300;51.480957;-0.20811819
HANNELL ROAD;524269;177365;51.481598;-0.21180877
MUNSTER ROAD;524237;177361;51.481569;-0.21227076
MUNSTER ROAD / FULHAM CROSS;524152;177421;51.482127;-0.21347313
LILLIE ROAD;524923;177745;51.484869;-0.20226127
LILLIE ROAD;524883;177886;51.486145;-0.20278722
WEST KENSINGTON ESTATE;524794;178088;51.48798;-0.20399702
WEST KENSINGTON ESTATE;524807;178095;51.48804;-0.20380741
WEST KENSINGTON STATION <>;524615;178299;51.489916;-0.20649937
WEST KENSINGTON STATION <>;524603;178372;51.490574;-0.20664637
LYTTON ESTATE;524523;178602;51.492659;-0.207717
LYTTON ESTATE;524437;178676;51.493343;-0.20892906
KENSINGTON OLYMPIA;524327;178794;51.494428;-0.2104712
RUMBOLD ROAD;525861;177054;51.478451;-0.18900553
RUMBOLD ROAD;525887;177065;51.478544;-0.18862741
WANDSWORTH BRIDGE ROAD;525498;176715;51.475485;-0.19435021
WANDSWORTH BRIDGE ROAD;525562;176760;51.475875;-0.19341319
IRENE ROAD;525365;176553;51.474059;-0.19632168
IRENE ROAD;525317;176493;51.47353;-0.1970337
PARSONS GREEN;525166;176415;51.472863;-0.1992343
MUNSTER ROAD;524795;176304;51.471947;-0.20461235
MUNSTER ROAD;524795;176290;51.471821;-0.20461729
NEW KINGS ROAD;525610;176740;51.475685;-0.19272951
NEW KING'S ROAD;525626;176724;51.475538;-0.19250493
OAKBURY ROAD;525747;176112;51.470011;-0.19098117
ROYAL HOSPITAL CHELSEA / LOWER SLOANE ST;528051;178274;51.488924;-0.15704515
NATIONAL ARMY MUSEUM;527815;178025;51.48674;-0.16053249
NATIONAL ARMY MUSEUM;527804;177997;51.486491;-0.16070096
ALBERT BRIDGE;527259;177613;51.483162;-0.16868423
ALBERT BRIDGE;527438;177642;51.483383;-0.16609735
SPA ROAD;533542;179133;51.495375;-0.077679244
BEAUFORT STREET;527017;177515;51.482336;-0.17220268
DUKE OF YORK SQUARE;527750;178484;51.490879;-0.16130219
MARKHAM STREET;527515;178270;51.489009;-0.16476245
CHELSEA OLD TOWN HALL;527328;178142;51.487901;-0.1675005
CARLYLE SQUARE;527079;177996;51.486645;-0.17113736
CARLYLE SQUARE;527067;177972;51.486432;-0.17131872
HOBURY STREET / WORLDS END;526534;177517;51.482462;-0.17915392
EDITH GROVE / WORLDS END;526529;177495;51.482266;-0.17923377
CHEYNE WALK;526893;177538;51.482571;-0.17397919
BROADHURST GARDENS;525508;184547;51.545869;-0.19142099
SPA ROAD;533647;179074;51.49482;-0.076189927
CHEYNE WALK;526896;177557;51.482741;-0.17392918
ROYAL BROMPTON HOSP / ROYAL MARSDEN HOSP;526866;178405;51.490368;-0.17405657
CHELSEA AND WESTMINSTER HOSPITAL;526342;177836;51.485372;-0.18180343
HORTENSIA ROAD;526024;177506;51.482477;-0.18649848
EDITH GROVE / KINGS ROAD;526325;177500;51.482356;-0.18216821
CALE STREET / ROYAL BROMPTON HOSPITAL;527125;178330;51.489636;-0.17035505
CALE STREET / ROYAL BROMPTON HOSPITAL;527127;178362;51.489923;-0.17031474
ALPHA CLOSE;527422;182556;51.527548;-0.16455394
FLOOD STREET;527617;177783;51.48461;-0.16347
FLOOD STREET;527625;177772;51.484509;-0.16335882
WEDMORE STREET;529978;186491;51.562328;-0.126277
LORD AVENUE;542536;189264;51.584214;0.055894158
WOODFORD BRIDGE ROAD;542447;189359;51.58509;0.054648979
HAYES / GEORGE LANE;540560;166409;51.379337;0.01830461
HAYES / GEORGE LANE;540527;166365;51.37895;0.017813363
ABINGER ROAD;521599;179011;51.496971;-0.24967319
ABINGER ROAD;521573;178990;51.496788;-0.25005478
TURNHAM GREEN STATION <>;521286;178892;51.495968;-0.25422078
TURNHAM GREEN STATION <>;521266;178873;51.495802;-0.25451527
FLANCHFORD ROAD;521958;179207;51.498655;-0.24443647
FLANCHFORD ROAD;521983;179203;51.498614;-0.24407788
THE ORCHARD;521014;178860;51.495739;-0.25814806
RAMILLIES ROAD;520829;178814;51.495365;-0.26082746
ACTON GREEN;520574;178891;51.496112;-0.26447268
STATION ROAD / CHINGFORD STATION #;539114;194602;51.633034;0.00865208
LANGLEY AVENUE;518337;166598;51.386099;-0.30078754
LANGLEY AVENUE;518356;166558;51.385736;-0.30052794
RUISLIP LIDO;508610;189132;51.590581;-0.43358888
ST ANTHONY'S HOSPITAL;523929;165823;51.377942;-0.2207367
TUDOR DRIVE;524607;166772;51.386322;-0.21066747
CHENIES PLACE;529832;183337;51.534018;-0.12954489
CHENIES PLACE;529747;183418;51.534765;-0.13073985
ST PANCRAS OLD CHURCH;529752;183401;51.534611;-0.13067407
ST PANCRAS HOSPITAL;529643;183485;51.535391;-0.13221379
ROYAL COLLEGE STREET;529526;183494;51.535499;-0.13389641
PLENDER STREET;529465;183668;51.537077;-0.13471148
PRATT STREET;529375;183852;51.538751;-0.13594084
CAMDEN ROAD STATION #;529224;184128;51.541266;-0.13801563
ROYAL COLLEGE STREET / IVOR STREET;529142;184268;51.542543;-0.13914606
KENTISH TOWN ROAD;529003;184484;51.544515;-0.14107022
KENTISH TOWN POST OFFICE;528982;184953;51.548735;-0.14120111
KENTISH TOWN POST OFFICE;528987;184895;51.548213;-0.14115029
KENTISH TOWN FIRE STATION;528882;185418;51.552937;-0.1424723
FORTESS ROAD;528954;185323;51.552066;-0.1414692
LADY SOMERSET ROAD;528776;185513;51.553814;-0.14396557
KENTISH TOWN FIRE STATION;528827;185482;51.553524;-0.14324172
LADY SOMERSET ROAD;528693;185677;51.555307;-0.14510211
BROADHURST GARDENS;525503;184489;51.545349;-0.19151373
GORDON HOUSE ROAD;528619;185765;51.556115;-0.14613674
DARTMOUTH PARK ROAD;528546;185899;51.557336;-0.14714019
WILLIAM ELLIS SCHOOL;528421;186057;51.558784;-0.14888463
